date,region,channel,orders,revenue,return_rate
2026-01-01,East,Online,120,186000,0.018
2026-01-01,East,Online,120,186000,0.018
2026-01-03,South,Partner,72,68400,0.031
2026-01-04,North,Online,,119000,0.022
2026-01-05,West,Direct,112,174500,0.014
2026-01-06,East,Partner,69,,0.044
2026-01-07,South,Direct,140,221000,0.016
2026-01-08,North,Online,101,133200,0.027
2026-01-09,West,Partner,58,48700,0.052
2026-01-10,East,Direct,155,248000,0.012
2026-01-11,South,Online,118,154300,0.025
2026-01-12,North,Direct,64,54400,0.047
2026-01-13,West,Online,181,325000,0.011
2026-01-14,West,Online,999,1250000,0.006
